Tier,University,Program/Department,Application Open Date,Fall 2027 Application Deadline,Spring 2027 Admission,Fully Funded,Approx Annual Stipend,Health Insurance Included,Professor Name,Research Area / Ongoing Research,Representative Paper (Title; Year; Venue),Paper Link (Google Scholar),Approx Citation Count,Citation Source
Top tier,University of California Berkeley,EECS / BAIR,Typically September,~Mid-December 2026,No,Yes,Full tuition + stipend,Yes,Pieter Abbeel,"Robot learning, RL, imitation learning",Apprenticeship Learning via Inverse Reinforcement Learning; 2004; ICML,https://scholar.google.com/scholar?q=Apprenticeship+Learning+via+Inverse+Reinforcement+Learning,"~265,482 (total)",Google Scholar (~2025/26)
Top tier,University of California Berkeley,EECS / BAIR,Typically September,~Mid-December 2026,No,Yes,Full tuition + stipend,Yes,Dawn Song,"AI security/privacy, adversarial ML, trustworthy AI",Robust Physical-World Attacks on Deep Learning Visual Classification; 2018; CVPR,https://scholar.google.com/scholar?q=Robust+Physical-World+Attacks+on+Deep+Learning+Visual+Classification,"~167,263 (total)",Google Scholar (~2025/26)
Top tier,University of Washington,Paul G. Allen School of CSE,Typically September,"December 15, 2026",No,Yes,Tuition waiver + monthly stipend + health (TA/RA guaranteed 3 yrs),Yes,Noah A. Smith,"NLP, ML, computational social science, LLMs",Don't Stop Pretraining: Adapt Language Models to Domains and Tasks; 2020; ACL,https://scholar.google.com/scholar?q=Don%27t+Stop+Pretraining%3A+Adapt+Language+Models+to+Domains+and+Tasks,"~85,748 (total)",Google Scholar (~2025/26)
Top tier,University of Washington,Allen School of CSE,Typically September,"December 15, 2026",No,Yes,Tuition waiver + stipend + health,Yes,Luke Zettlemoyer,"NLP, semantic parsing, LLM pretraining (ELMo, BART)",Deep Contextualized Word Representations (ELMo); 2018; NAACL,https://scholar.google.com/scholar?q=Deep+Contextualized+Word+Representations+%28ELMo%29,"~190,775 (total)",Google Scholar (~2025/26)
Top tier,University of Washington,Allen School of CSE,Typically September,"December 15, 2026",No,Yes,Tuition waiver + stipend + health,Yes,Ali Farhadi,"Computer vision, efficient deep learning (YOLO, XNOR-Net)","You Only Look Once: Unified, Real-Time Object Detection; 2016; CVPR",https://scholar.google.com/scholar?q=You+Only+Look+Once%3A+Unified%2C+Real-Time+Object+Detection,"~214,376 (total)",Google Scholar (~2025/26)
Top tier,Georgia Institute of Technology,Machine Learning PhD / College of Computing,Typically September,Home-unit deadlines Dec 1-15 (CS Dec 15),No,Yes,"$37,500/yr GRA (2026-27) + tuition waiver",Yes,Mark Riedl,"Human-centered AI, narrative/story generation, explainable & safe AI",Event Representations for Automated Story Generation with Deep Neural Nets; 2018; AAAI,https://scholar.google.com/scholar?q=Event+Representations+for+Automated+Story+Generation+with+Deep+Neural+Nets,"~16,250 (total)",Google Scholar (~2025/26)
Top tier,Georgia Institute of Technology,ML PhD / College of Computing,Typically September,Dec 1-15,No,Yes,"$37,500/yr GRA + tuition",Yes,Judy Hoffman,"Computer vision + ML, domain adaptation, robustness, fairness",CyCADA: Cycle-Consistent Adversarial Domain Adaptation; 2018; ICML,https://scholar.google.com/scholar?q=CyCADA%3A+Cycle-Consistent+Adversarial+Domain+Adaptation,"~35,974 (total)",Google Scholar (~2025/26)
Top tier,Georgia Institute of Technology,ML PhD / College of Computing,Typically September,Dec 1-15,No,Yes,"$37,500/yr GRA + tuition",Yes,Zsolt Kira,"ML, robot perception, continual & self-supervised learning",Learning to Cluster in Order to Transfer Across Domains and Tasks; 2018; ICLR,https://scholar.google.com/scholar?q=Learning+to+Cluster+in+Order+to+Transfer+Across+Domains+and+Tasks,"~4,100 (profile total; co-authored work cited more widely)",Google Scholar (~2025/26)
Top tier,University of Illinois Urbana-Champaign,Computer Science (Grainger),Typically September,"December 15, 2026",No,Yes,"Full tuition waiver + stipend, 5 yrs",Yes,Jiawei Han,"Data mining, text mining, information networks, knowledge graphs",Mining Frequent Patterns without Candidate Generation (FP-growth); 2000; SIGMOD,https://scholar.google.com/scholar?q=Mining+Frequent+Patterns+without+Candidate+Generation+%28FP-growth%29,"~200,000+ (total; h-index ~202)",Google Scholar (~2025/26; approximate)
Top tier,University of Illinois Urbana-Champaign,Computer Science,Typically September,"December 15, 2026",No,Yes,Full tuition waiver + stipend,Yes,Heng Ji,"NLP, information extraction, LLMs, knowledge-aware AI",Joint Event Extraction via Structured Prediction with Global Features; 2013; ACL,https://scholar.google.com/scholar?q=Joint+Event+Extraction+via+Structured+Prediction+with+Global+Features,"~37,573 (total)",Google Scholar (~2025/26)
Top tier,University of Illinois Urbana-Champaign,Computer Science,Typically September,"December 15, 2026",No,Yes,Full tuition waiver + stipend,Yes,ChengXiang Zhai,"Information retrieval, text mining, intelligent information systems",A Study of Smoothing Methods for Language Models Applied to Ad Hoc IR; 2004; SIGIR,https://scholar.google.com/scholar?q=A+Study+of+Smoothing+Methods+for+Language+Models+Applied+to+Ad+Hoc+IR,"~46,458 (total)",Google Scholar (~2025/26)
Top tier,Cornell University,Computer Science,Typically September,"December 15, 2026",No,Yes,Tuition + health + stipend (TA/RA/fellowship),Yes,Kilian Weinberger,"ML, deep learning (DenseNet), metric learning, efficiency",Densely Connected Convolutional Networks (DenseNet); 2017; CVPR,https://scholar.google.com/scholar?q=Densely+Connected+Convolutional+Networks+%28DenseNet%29,"~153,451 (total)",Google Scholar (~2025/26)
Top tier,Cornell University,Computer Science,Typically September,"December 15, 2026",No,Yes,Tuition + health + stipend,Yes,Thorsten Joachims,"ML, information retrieval, learning-to-rank, SVMs",Optimizing Search Engines using Clickthrough Data; 2002; KDD,https://scholar.google.com/scholar?q=Optimizing+Search+Engines+using+Clickthrough+Data,"~89,139 (total)",Google Scholar (~2025/26)
Top tier,Cornell University,Computer Science,Typically September,"December 15, 2026",No,Yes,Tuition + health + stipend,Yes,Alexander Rush,"NLP, deep learning, structured prediction, efficient LMs",A Neural Attention Model for Abstractive Sentence Summarization; 2015; EMNLP,https://scholar.google.com/scholar?q=A+Neural+Attention+Model+for+Abstractive+Sentence+Summarization,"~54,842 (total)",Google Scholar (~2025/26)
Top tier,Princeton University,Computer Science,Typically September,"December 15, 2026",No,Yes,"Full tuition + health + stipend, ~5 yrs",Yes,Sanjeev Arora,"Theoretical ML, deep learning theory, LLM science",A Simple but Tough-to-Beat Baseline for Sentence Embeddings; 2017; ICLR,https://scholar.google.com/scholar?q=A+Simple+but+Tough-to-Beat+Baseline+for+Sentence+Embeddings,"~48,030 (total)",Google Scholar (~2025/26)
Top tier,Princeton University,Computer Science,Typically September,"December 15, 2026",No,Yes,Full tuition + health + stipend,Yes,Danqi Chen,"NLP, question answering, LLMs, retrieval",Reading Wikipedia to Answer Open-Domain Questions (DrQA); 2017; ACL,https://scholar.google.com/scholar?q=Reading+Wikipedia+to+Answer+Open-Domain+Questions+%28DrQA%29,"~94,714 (total)",Google Scholar (~2025/26)
Top tier,Princeton University,Computer Science,Typically September,"December 15, 2026",No,Yes,Full tuition + health + stipend,Yes,Jia Deng,"Computer vision, ImageNet, visual recognition, 3D",ImageNet: A Large-Scale Hierarchical Image Database; 2009; CVPR,https://scholar.google.com/scholar?q=ImageNet%3A+A+Large-Scale+Hierarchical+Image+Database,"~207,808 (total)",Google Scholar (~2025/26)
Top tier,University of Texas at Austin,Computer Science,Typically September,"December 15, 2026 (letters Dec 20)",No,Yes,"Fellowship 9-mo base $24,300 + RA/TA + tuition/fee waiver + medical",Yes,Peter Stone,"Reinforcement learning, multiagent systems, robotics",Outracing Champion Gran Turismo Drivers with Deep RL; 2022; Nature,https://scholar.google.com/scholar?q=Outracing+Champion+Gran+Turismo+Drivers+with+Deep+RL,"~66,613 (total)",Google Scholar (~2025/26)
Top tier,University of Texas at Austin,Computer Science,Typically September,"December 15, 2026",No,Yes,Fellowship/RA/TA + tuition waiver,Yes,Raymond Mooney,"NLP, ML, semantic parsing, language grounding",Learning to Parse Database Queries Using Inductive Logic Programming; 1996; AAAI,https://scholar.google.com/scholar?q=Learning+to+Parse+Database+Queries+Using+Inductive+Logic+Programming,"~50,414 (total)",Google Scholar (~2025/26)
Top tier,University of Texas at Austin,Computer Science,Typically September,"December 15, 2026",No,Yes,Fellowship/RA/TA + tuition waiver,Yes,Kristen Grauman,"Computer vision, video understanding, egocentric/embodied perception","Ego4D: Around the World in 3,000 Hours of Egocentric Video; 2022; CVPR",https://scholar.google.com/scholar?q=Ego4D%3A+Around+the+World+in+3%2C000+Hours+of+Egocentric+Video,"~58,868 (total)",Google Scholar (~2025/26)
Top tier,University of Michigan,Computer Science & Engineering,Typically September,"December 15, 2026",No,Yes,Full funding guaranteed 4-5 yrs (tuition + stipend + health); 4 yrs with relevant MS,Yes,Honglak Lee,"Deep learning, representation learning, RL, vision",Convolutional Deep Belief Networks for Scalable Unsupervised Learning; 2009; ICML,https://scholar.google.com/scholar?q=Convolutional+Deep+Belief+Networks+for+Scalable+Unsupervised+Learning,"~83,185 (total)",Google Scholar (~2025/26)
Top tier,University of Michigan,Computer Science & Engineering,Typically September,"December 15, 2026",No,Yes,Full funding 4-5 yrs,Yes,Rada Mihalcea,"NLP, computational social science, multimodal",TextRank: Bringing Order into Texts; 2004; EMNLP,https://scholar.google.com/scholar?q=TextRank%3A+Bringing+Order+into+Texts,"~56,204 (total)",Google Scholar (~2025/26)
Top tier,University of Michigan,Computer Science & Engineering,Typically September,"December 15, 2026",No,Yes,Full funding 4-5 yrs,Yes,Justin Johnson,"Computer vision, vision+language, image generation, 3D",Perceptual Losses for Real-Time Style Transfer and Super-Resolution; 2016; ECCV,https://scholar.google.com/scholar?q=Perceptual+Losses+for+Real-Time+Style+Transfer+and+Super-Resolution,"~41,000+ (total)",Google Scholar (~2025/26; approximate)
Top tier,University of California San Diego,Computer Science & Engineering,Typically September,~Mid-to-late December 2026 (Fall only),No,Yes,First-year stipend + full fees + nonresident tuition; ongoing GSR/fellowship,Yes,Julian McAuley,"Recommender systems, NLP, personalization",Image-based Recommendations on Styles and Substitutes; 2015; SIGIR,https://scholar.google.com/scholar?q=Image-based+Recommendations+on+Styles+and+Substitutes,"~53,566 (total)",Google Scholar (~2025/26)
Top tier,University of California San Diego,Computer Science & Engineering,Typically September,~Mid-to-late December 2026,No,Yes,Stipend + fees + tuition (GSR/fellowship),Yes,Zhuowen Tu,"Computer vision, ML, deep learning (deeply-supervised nets)",Holistically-Nested Edge Detection; 2015; ICCV,https://scholar.google.com/scholar?q=Holistically-Nested+Edge+Detection,"~46,000+ (total)",Google Scholar (~2025/26; approximate)
Top tier,University of California San Diego,Computer Science & Engineering,Typically September,~Mid-to-late December 2026,No,Yes,Stipend + fees + tuition (GSR/fellowship),Yes,Xiaolong Wang,"Computer vision, robot learning, self-supervised learning",Non-local Neural Networks; 2018; CVPR,https://scholar.google.com/scholar?q=Non-local+Neural+Networks,"~46,112 (total)",Google Scholar (~2025/26)
Top tier,California Institute of Technology,Computing & Mathematical Sciences (CS option),Typically September,"December 1, 2026",No,Yes,Full tuition + stipend,Yes,Yisong Yue,"ML, structured prediction, RL, ML for science",Hierarchical Imitation and Reinforcement Learning; 2018; ICML,https://scholar.google.com/scholar?q=Hierarchical+Imitation+and+Reinforcement+Learning,"~33,101 (total)",Google Scholar (~2025/26)
Top tier,California Institute of Technology,Computing & Mathematical Sciences,Typically September,"December 1, 2026",No,Yes,Full tuition + stipend,Yes,Anima Anandkumar,"ML theory, tensor methods, neural operators, scientific ML",Fourier Neural Operator for Parametric PDEs; 2021; ICLR,https://scholar.google.com/scholar?q=Fourier+Neural+Operator+for+Parametric+PDEs,"~44,413 (total)",Google Scholar (~2025/26)
Top tier,California Institute of Technology,Computing & Mathematical Sciences,Typically September,"December 1, 2026",No,Yes,Full tuition + stipend,Yes,Pietro Perona,"Computer vision, visual categorization (Caltech-101), neuro-AI",One-Shot Learning of Object Categories; 2006; TPAMI,https://scholar.google.com/scholar?q=One-Shot+Learning+of+Object+Categories,"~196,730 (total)",Google Scholar (~2025/26)
Top tier,University of Massachusetts Amherst,Manning College of Information & Computer Sciences,Typically September,"~December 15, 2026 (prior cycle)",No,Yes,"$37,533.60 (first-year, 12-mo) + tuition waiver + 95% health subsidy",Yes,Andrew McCallum,"ML, NLP, information extraction (CRFs), structured prediction",Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data; 2001; ICML,https://scholar.google.com/scholar?q=Conditional+Random+Fields%3A+Probabilistic+Models+for+Segmenting+and+Labeling+Sequence+Data,"~117,318 (total)",Google Scholar (~2025/26)
Top tier,University of Massachusetts Amherst,Manning College of Information & Computer Sciences,Typically September,"~December 15, 2026",No,Yes,"$37,533.60 + tuition waiver",Yes,Subhransu Maji,"Computer vision, ML, fine-grained recognition",Bilinear CNN Models for Fine-grained Visual Recognition; 2015; ICCV,https://scholar.google.com/scholar?q=Bilinear+CNN+Models+for+Fine-grained+Visual+Recognition,"~34,282 (total)",Google Scholar (~2025/26)
Top tier,University of Massachusetts Amherst,Manning College of Information & Computer Sciences,Typically September,"~December 15, 2026",No,Yes,"$37,533.60 + tuition waiver",Yes,Erik Learned-Miller,"Computer vision, face recognition (Labeled Faces in the Wild)",Labeled Faces in the Wild: A Database for Studying Face Recognition; 2007/08; UMass tech report,https://scholar.google.com/scholar?q=Labeled+Faces+in+the+Wild%3A+A+Database+for+Studying+Face+Recognition,"verify on Google Scholar (~30,000+ via LFW dataset)",Faculty page (verify)
Top tier,Columbia University,Computer Science,Typically September,"December 15, 2026",No,Yes,Monthly stipend + tuition exemption (GRA),Yes,Kathleen McKeown,"NLP, text summarization, natural language generation",Cut and Paste Based Text Summarization; 2000; NAACL,https://scholar.google.com/scholar?q=Cut+and+Paste+Based+Text+Summarization,"~35,161 (total)",Google Scholar (~2025/26)
Top tier,Columbia University,Computer Science,Typically September,"December 15, 2026",No,Yes,Stipend + tuition exemption (GRA),Yes,Shih-Fu Chang,"Multimedia, computer vision, ML, retrieval",VisualSEEk: A Fully Automated Content-Based Image Query System; 1996; ACM MM,https://scholar.google.com/scholar?q=VisualSEEk%3A+A+Fully+Automated+Content-Based+Image+Query+System,"~128,490 (total)",Google Scholar (~2025/26)
Top tier,Columbia University,Computer Science,Typically September,"December 15, 2026",No,Yes,Stipend + tuition exemption (GRA),Yes,Carl Vondrick,"Computer vision, self-supervised learning, video",Generating Videos with Scene Dynamics; 2016; NeurIPS,https://scholar.google.com/scholar?q=Generating+Videos+with+Scene+Dynamics,"~22,843 (total)",Google Scholar (~2025/26)
Top tier,University of Maryland,Computer Science,Typically September,"December 4, 2026 (Fall 2027 posted)",No,Yes,"$30,800-$33,100 (9.5-mo, 2025-26) + tuition + health",Yes,Tom Goldstein,"ML + optimization, adversarial robustness, LLMs, data",Poison Frogs! Targeted Clean-Label Poisoning Attacks on Neural Networks; 2018; NeurIPS,https://scholar.google.com/scholar?q=Poison+Frogs%21+Targeted+Clean-Label+Poisoning+Attacks+on+Neural+Networks,"~46,301 (total)",Google Scholar (~2025/26)
Top tier,University of Maryland,Computer Science,Typically September,"December 4, 2026",No,Yes,"$30,800-$33,100 (9.5-mo) + tuition",Yes,Furong Huang,"Trustworthy ML, RL, generative AI, high-dimensional statistics",Tensor Decompositions for Learning Latent Variable Models; 2014; JMLR,https://scholar.google.com/scholar?q=Tensor+Decompositions+for+Learning+Latent+Variable+Models,"~10,800 (total)",Google Scholar (~2025/26)
Top tier,University of Maryland,Computer Science,Typically September,"December 4, 2026",No,Yes,"$30,800-$33,100 (9.5-mo) + tuition",Yes,Hal Daume III,"NLP, ML, fairness, structured prediction",Frustratingly Easy Domain Adaptation; 2007; ACL,https://scholar.google.com/scholar?q=Frustratingly+Easy+Domain+Adaptation,"~34,793 (total)",Google Scholar (~2025/26)
Top tier,University of California Los Angeles,Computer Science,Typically September,"December 15, 2026",No,Yes,Funding meeting full cost of attendance (TA/GSR),Yes,Kai-Wei Chang,"NLP, ML, vision-language, trustworthy/fair NLP",Men Also Like Shopping: Reducing Gender Bias Amplification; 2017; EMNLP,https://scholar.google.com/scholar?q=Men+Also+Like+Shopping%3A+Reducing+Gender+Bias+Amplification,"~62,196 (total)",Google Scholar (~2025/26)
Top tier,University of California Los Angeles,Computer Science,Typically September,"December 15, 2026",No,Yes,Funding meeting full cost of attendance,Yes,Cho-Jui Hsieh,"Large-scale ML, optimization, robustness",LIBLINEAR: A Library for Large Linear Classification; 2008; JMLR,https://scholar.google.com/scholar?q=LIBLINEAR%3A+A+Library+for+Large+Linear+Classification,"~70,000+ (total)",Google Scholar (~2025/26; approximate)
Top tier,University of California Los Angeles,Computer Science,Typically September,"December 15, 2026",No,Yes,Funding meeting full cost of attendance,Yes,Yizhou Sun,"Graph neural networks, knowledge graphs, heterogeneous networks, AI for science",PathSim: Meta Path-Based Top-K Similarity Search in Heterogeneous Information Networks; 2011; VLDB,https://scholar.google.com/scholar?q=PathSim%3A+Meta+Path-Based+Top-K+Similarity+Search+in+Heterogeneous+Information+Networks,"~30,879 (total)",Google Scholar (~2025/26)
Top tier,University of Wisconsin-Madison,Computer Sciences,Typically September,"December 15, 2026",No,Yes,4-yr guarantee (tuition waiver + stipend) for many admits,Yes,Yixuan (Sharon) Li,"Out-of-distribution detection, reliable/trustworthy ML",Energy-based Out-of-distribution Detection; 2020; NeurIPS,https://scholar.google.com/scholar?q=Energy-based+Out-of-distribution+Detection,"~20,000+ (total)",Google Scholar (~2025/26; approximate)
Top tier,University of Wisconsin-Madison,Computer Sciences,Typically September,"December 15, 2026",No,Yes,4-yr guarantee (tuition + stipend),Yes,Yong Jae Lee,"Computer vision, generative models, self-supervised learning",Generating Videos / visual self-supervised learning; CVPR,https://scholar.google.com/scholar?q=Generating+Videos+%2F+visual+self-supervised+learning,"~16,000+ (total)",Google Scholar (~2025/26; approximate)
Top tier,University of Wisconsin-Madison,Computer Sciences,Typically September,"December 15, 2026",No,Yes,4-yr guarantee (tuition + stipend),Yes,Xiaojin (Jerry) Zhu,"Machine learning, semi-supervised learning, machine teaching",Semi-Supervised Learning Using Gaussian Fields and Harmonic Functions; 2003; ICML,https://scholar.google.com/scholar?q=Semi-Supervised+Learning+Using+Gaussian+Fields+and+Harmonic+Functions,"~50,000+ (total)",Google Scholar (~2025/26; approximate)
Next tier,University at Buffalo (SUNY),CSE PhD,Typically September,Dec 31 full funding / Jan 1 priority (based on prior cycle),No (PhD fall focus),Yes,"$23,690 (10-mo) / $30,797 (12-mo)",Yes,Venu Govindaraju,"Machine learning, pattern recognition, biometrics, handwriting/document analysis",Locating human faces in photographs; 1996; IJCV,https://scholar.google.com/scholar?q=Locating+human+faces+in+photographs,~18500,Google Scholar
Next tier,University at Buffalo (SUNY),CSE PhD,Typically September,Dec 31 full funding / Jan 1 priority (based on prior cycle),No,Yes,"$23,690 (10-mo) / $30,797 (12-mo)",Yes,Sargur N. Srihari,"Pattern recognition, computational forensics, handwriting recognition",Individuality of handwriting; 2002; Journal of Forensic Sciences,https://scholar.google.com/scholar?q=Individuality+of+handwriting,~20000,Google Scholar
Next tier,University at Buffalo (SUNY),CSE PhD,Typically September,Dec 31 full funding / Jan 1 priority (based on prior cycle),No,Yes,"$23,690 (10-mo) / $30,797 (12-mo)",Yes,Varun Chandola,"Data mining, anomaly detection, ML for scientific/spatial data",Anomaly Detection: A Survey; 2009; ACM Computing Surveys,https://scholar.google.com/scholar?q=Anomaly+Detection%3A+A+Survey,~30000,Google Scholar
Next tier,Stony Brook University,Computer Science PhD,Mid-to-late August,December 15 (based on prior cycle),No (PhD fall focus),Yes,"~$25,000-33,000 (approx)",Yes,Dimitris Samaras,"Computer vision, ML, computational behavioral science, medical imaging",Localization in the Crowd with Topological Constraints; 2021; AAAI,https://scholar.google.com/scholar?q=Localization+in+the+Crowd+with+Topological+Constraints,~21000,Google Scholar
Next tier,Stony Brook University,Computer Science PhD,Mid-to-late August,December 15 (based on prior cycle),No,Yes,"~$25,000-33,000 (approx)",Yes,Steven Skiena,"Data science, graph representation learning, NLP, algorithms",DeepWalk: Online Learning of Social Representations; 2014; KDD,https://scholar.google.com/scholar?q=DeepWalk%3A+Online+Learning+of+Social+Representations,~38500,Google Scholar
Next tier,Stony Brook University,Computer Science PhD,Mid-to-late August,December 15 (based on prior cycle),No,Yes,"~$25,000-33,000 (approx)",Yes,Niranjan Balasubramanian,"NLP, question answering, efficient NLP, information extraction",Open Information Extraction work; 2013; ACL,https://scholar.google.com/scholar?q=Open+Information+Extraction+work,~6000,Google Scholar
Next tier,Rutgers University,Computer Science PhD,Typically September,January 1 (based on prior cycle),No (fall only),Yes,"~$30,000 (approx)",Yes,Dimitris N. Metaxas,"Computer vision, ML, medical image analysis, deformable models",Shape and Nonrigid Motion Estimation through Physics-Based Synthesis; 1993; IEEE PAMI,https://scholar.google.com/scholar?q=Shape+and+Nonrigid+Motion+Estimation+through+Physics-Based+Synthesis,~70000,Google Scholar
Next tier,Rutgers University,Computer Science PhD,Typically September,January 1 (based on prior cycle),No,Yes,"~$30,000 (approx)",Yes,Yongfeng Zhang,"Recommender systems, IR, NLP, LLM agents, explainable AI",Joint Representation Learning for Top-N Recommendation; 2017; SIGIR,https://scholar.google.com/scholar?q=Joint+Representation+Learning+for+Top-N+Recommendation,~29000,Google Scholar
Next tier,Rutgers University,Computer Science PhD,Typically September,January 1 (based on prior cycle),No,Yes,"~$30,000 (approx)",Yes,Vladimir Pavlovic,"Computer vision, probabilistic models, machine learning",Learning Switching Linear Models of Human Motion; 2000; NeurIPS,https://scholar.google.com/scholar?q=Learning+Switching+Linear+Models+of+Human+Motion,~17000,Google Scholar
Next tier,Arizona State University,SCAI Computer Science PhD,Typically September,December 15 (based on prior cycle),No (no summer; spring limited),Yes,"~$28,000-30,000 (approx)",Yes,Subbarao Kambhampati,"AI, automated planning, human-aware AI, LLM reasoning",On the Planning Abilities of Large Language Models; 2023; NeurIPS,https://scholar.google.com/scholar?q=On+the+Planning+Abilities+of+Large+Language+Models,~23500,Google Scholar
Next tier,Arizona State University,SCAI Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$28,000-30,000 (approx)",Yes,Huan Liu,"Data mining, ML, feature selection, social media mining",Feature Selection for Classification; 1997; Intelligent Data Analysis,https://scholar.google.com/scholar?q=Feature+Selection+for+Classification,~129000,Google Scholar
Next tier,Arizona State University,SCAI Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$28,000-30,000 (approx)",Yes,Yezhou Yang,"Computer vision, robotics, vision-language",Robot Learning Manipulation Action Plans by Watching Unconstrained Videos; 2015; AAAI,https://scholar.google.com/scholar?q=Robot+Learning+Manipulation+Action+Plans+by+Watching+Unconstrained+Videos,~12000,Google Scholar
Next tier,Penn State,CSE PhD,Typically September,December 15 (based on prior cycle),No (intl fall only),Yes,"~$23,000-30,000 (approx)",Yes (80% premium),C. Lee Giles,"Information retrieval, search engines, digital libraries, deep learning",CiteSeer: An Automatic Citation Indexing System; 1998; ACM DL,https://scholar.google.com/scholar?q=CiteSeer%3A+An+Automatic+Citation+Indexing+System,~65000,Google Scholar
